Company,Founded,Era,Connect,Collect,Empower,Enable,Share,Alpha.Revenue,Alpha.Impact,Alpha.Users,Avg.Alpha,RevenueSpeed,UserSpeed,ImpactSpeed
Plos,2007,2,1.5,2,1.5,2.5,2.7,0.424370409,0.616700636,NA,0.520535522,0.714197768372,NA,1.83778950954
Quirky,2010,3,1.5,2.2,1.5,1,2,NA,1.452360335,1.104278072,1.278319203,2,1.73076923077,4.12820512821
Research Gate,2009,3,1,2,1.5,1.2,1,NA,2.088187087,0.761105483,1.424646285,NA,0.363636363636,0.111111111111
Salesforce,2000,1,2,2.2,1,2,1,0.265914385523111,0.241377564189086,0.38930795131021,0.298866633674136,0.353045329373,0.933333333333,0.195402298851
Shapeways,2008,3,0.5,1.5,2,2.7,2,NA,0.821353416,1.57518044,1.198266928,NA,0.304347826087,1.25
Shiply,2009,3,2.2,2,1,1,1,NA,0.649382548,0.766989533,0.708186041,7.33333333333,0.666666666667,1.047991
Shutterfly,2000,1,1.7,2,1.5,1.5,1.5,0.285037906,0.198402901,0.235411638,0.239617482,0.353612103028,0.310690423163,0.322690437601
Skype,2006,2,1.7,1,1,1.2,1,0.321300473508403,0.208446901965913,NA,0.264873687737158,1.32558139535,-0.155354449472,0.205479452055
Sparkfun,2004,2,0.5,1,1,1,1,0.36558686,NA,NA,0.36558686,0.195219123506,NA,0.191666666667
Spotify,2007,2,2.2,1,1.2,2.2,1,1.10452230470552,0.839632848922258,0.315743454314526,0.753299535980768,1.04918032787,0.2,0.2
Stack Overflow,2009,3,1,2,2,1.7,2.7,NA,0.513720417,NA,0.513720417,NA,NA,0.268656716418
Survey Monkey,2000,1,1,1.5,1.2,1.5,1,NA,0.30702598,0.445898768,0.376462374,1.26,0.25,0.274509803922
TedX,2010,3,1.7,1.5,1.5,1.5,2.5,NA,NA,0.690775528,0.690775528,NA,1,0.818181818182
Twitter,2007,2,2.2,2.2,2.7,1.5,2,NA,1.219515049,0.569000646,0.894257848,1.9811311881,0.557971014493,0.470588235294
Waze,2008,3,2,2.2,1.5,1.5,1,NA,NA,1.927703914,1.927703914,NA,0.470588235294,NA
Whatsapp,2010,3,2,2,1.5,1.5,2,NA,NA,1.67327406,1.67327406,NA,1.15,1.45454545455
Wikipedia,2002,1,1.5,3,2.5,3,2.7,0.443440028497411,0.187365507224263,0.123054455490112,0.251286663737262,0.535122049627,0.101321585903,0.289629194915
Yammer,2009,3,1.7,1.5,1.5,1.2,1,1.38440980548162,1.34953052938071,0.911077517862397,1.21500595090824,1.8,0.142857142857,0.65
Yelp,2005,2,2.2,2,1.5,1.7,2,0.602671701824613,0.481746901101943,0.392440489060718,0.492286363995758,0.651762021973,0.251332437318,0.305555555556
Youtube,2006,2,2,2.2,2.2,2.5,2,NA,0.84763712,0.592508791,0.720072956,NA,0.25,0.333333333333
ZipCar,2001,1,2.2,1,1,1.2,1,0.254611119,0.066921479,0.264052454,0.195195017,0.154387417219,0.0415474566311,0.0242753252074
