Company,Year,UsersPattern,UsersAbsolute,UsersRelative,ImpactPattern,ImpactAbsolute,ImpactRelative,RevenuePattern,RevenueAbsolute,RevenueRelative
We Transfer,2011,,,,,65000000,,4,600000,100
We Transfer,2012,,,,4,204000000,214,4,8000000,1233
We Transfer,2013,,,,,,,,,
Quirky,2008,,,,,,,,,
Quirky,2009,,,,,,,,,
Quirky,2010,,,,,5928,,,1000000,
Quirky,2011,4,78000,100,3,11804,99,4,6500000,550
Quirky,2012,4,260000,233,4,78000,561,4,19500000,200
Quirky,2013,4,400000,131,4,400000,413,,,
Android,2008,,,,,,,,,
Android,2009,,,,,7000000,,,,
Android,2010,,200000000,,4,66000000,843,,120000000,
Android,2011,4,10000000000,4900,4,237700000,260,4,341765445,185
Android,2012,4,30000000000,200,1,295000000,24,4,1069725000,213
Android,2013,3,48000000000,60,4,1000000000,239,,,
Whatsapp,2008,,,,,,,,,
Whatsapp,2009,,1000000,,,,,,,
Whatsapp,2010,4,2000000,100,,,,,,
Whatsapp,2011,4,20000000,900,,1000000000,,,,
Whatsapp,2012,4,200000000,900,4,11000000000,1000,,,
Whatsapp,2013,3,300000000,75,4,27000000000,145,,,
Elance,2008,,,,,,,,150000000,
Elance,2009,,60000,,,100000,,2,230000000,53
Elance,2010,3,110000,83,2,160000,60,1,300000000,30
Elance,2011,1,130000,18,4,650000,306,1,400000000,33
Elance,2012,4,345000,165,4,1500000,131,1,500000000,33
Elance,2013,4,500000,132,3,2850000,90,,,
Waze,2008,,,,,,,,,
Waze,2009,,19000,,,,,,,
Waze,2010,4,1000000,5163,,,,,,
Waze,2011,4,10000000,900,,,,,,
Waze,2012,4,34000000,240,,,,,,
Waze,2013,2,50000000,47,,,,,,
Docstoc,2008,,,,,700,,,,
Docstoc,2009,,1600000,,,1000,,,,
Docstoc,2010,3,3000000,88,4,2000,160,,,
Docstoc,2011,4,11000000,267,2,2600,54,,,
Docstoc,2012,4,30000000,173,1,3400,25,,,
Docstoc,2013,1,35000000,17,,3600,,,,
Meet Up,2008,,2000000,,,20000,,,,
Meet Up,2009,4,4000000,100,2,30000,50,,,
Meet Up,2010,2,6100000,53,4,68000,127,,,
Meet Up,2011,1,8000000,31,,,,,,
Meet Up,2012,1,11100000,39,,80000,,,,
Meet Up,2013,1,15140000,36,,200000,150,,,
Kickstarter,2008,,,,,,,,,
Kickstarter,2009,,,,,,,,,
Kickstarter,2010,4,11130,100,,3910,,,1381915,
Kickstarter,2011,4,27086,143,4,11836,203,4,4967219,259
Kickstarter,2012,2,41765,54,2,18109,53,4,15985334,222
Kickstarter,2013,,,,,,,,,
Arduino,2008,,33788,,,33788,,,,
Arduino,2009,3,62301,84,3,62301,84,,,
Arduino,2010,1,84674,36,1,84674,36,,1000000,
Arduino,2011,3,150000,77,3,150000,77,,,
Arduino,2012,4,300000,100,4,300000,100,,1500000,
Arduino,2013,4,1000000,233,,1000000,,,,
Athena Health,2008,,9788,,,12000,,,136282000,
Athena Health,2009,1,13200,25,3,19740,65,1,188527000,35
Athena Health,2010,1,,22,1,26317,33,1,237145000,30
Athena Health,2011,1,20824,21,1,31675,20,1,324067000,32
Athena Health,2012,1,25000,20,1,43858,38,1,422271000,30
Athena Health,2013,1,,20,,,,,,
LinkedIN,2008,,11900000,,,30100000,,,78773000,
LinkedIN,2009,3,2000000,68,3,50000000,66,2,120127000,52
LinkedIN,2010,4,52000000,160,3,90437000,81,4,243099000,102
LinkedIN,2011,3,84000000,62,2,144974000,60,4,522189000,115
LinkedIN,2012,2,126000000,50,1,201912000,39,3,972309000,86
LinkedIN,2013,2,140000000,42,1,240000000,19,,,
Baidu,2008,,,,,284000,,,468780000,
Baidu,2009,,,,1,317000,12,1,651603000,39
Baidu,2010,,,,1,412000,30,3,1199254000,84
Baidu,2011,,90000000,,1,488000,18,3,2303943000,92
Baidu,2012,,170000000,,1,596000,22,2,3580000000,55
Baidu,2013,,240000000,,2,878000,47,,,
Sparkfun,2008,,,,,1,,,6600000,
Sparkfun,2009,,,,,,,4,13400000,103
Sparkfun,2010,,,,,87,,2,18700000,40
Sparkfun,2011,,,,1,120,38,1,25100000,34
Sparkfun,2012,,,,1,143,19,1,30000000,20
Sparkfun,2013,,,,,,,,,
Global Giving,2008,,440000,,,16000000,,,10042543,
Global Giving,2009,3,790000,80,2,25000000,56,1,10310532,3
Global Giving,2010,3,1340000,70,3,47000000,88,1,14378146,39
Global Giving,2011,3,2270000,69,3,80900000,72,2,22238101,55
Global Giving,2012,,,,,,,,,
Global Giving,2013,,,,,,,,,
Ancestry,2008,,911112,,,,,,181391000,
Ancestry,2009,1,1066000,17,,4000000000,,1,207707000,15
Ancestry,2010,1,1395000,31,2,6000000000,50,1,281670000,36
Ancestry,2011,1,1680673,20,1,8000000000,33,2,399589828,42
Ancestry,2012,2,2500000,49,2,11400000000,43,1,487100000,22
Ancestry,2013,,,,,,,,,
Facebook,2008,,100000,,,130000000,,,272000000,
Facebook,2009,4,700000,600,4,360000000,177,4,777000000,186
Facebook,2010,4,1500000,114,3,608000000,69,4,1974000000,154
Facebook,2011,4,4000000,167,1,845000000,39,3,3711000000,88
Facebook,2012,4,13000000,225,1,1056000000,25,1,5089000000,37
Facebook,2013,1,,15,1,1260000000,19,,,
Odesk,2008,,500000,,,125000,,,4000000,
Odesk,2009,3,95000,90,4,450000,260,2,6000000,50
Odesk,2010,1,200000,25,3,860000,91,3,11000000,83
Odesk,2011,1,250000,25,3,1500000,74,3,20000000,82
Odesk,2012,4,540000,116,3,2700000,80,4,44600000,123
Odesk,2013,,,,1,3100000,15,,,
Fon,2008,,830000,,,212000,,,,
Fon,2009,,,,4,1000000,372,,5000000,100
Fon,2010,,,,4,3350000,235,4,28000000,460
Fon,2011,,6000000,,1,4000000,19,4,,
Fon,2012,,,,1,5000000,25,,,
Fon,2013,,,,,,,,,
Dropbox,2008,,200000,,,,,,,
Dropbox,2009,4,4000000,1900,,,,,,
Dropbox,2010,4,25000000,525,,,,,1000000000,
Dropbox,2011,4,50000000,100,,2000000000,,4,240000000,140
Dropbox,2012,4,100000000,100,4,4000000000,100,4,500000000,108
Dropbox,2013,3,175000000,75,3,7000000000,75,,,
Etsy,2008,,650000,,,120000,,,87500000,
Etsy,2009,4,5000000,669,,,,4,180600000,106
Etsy,2010,2,7000000,40,,,,3,314300000,74
Etsy,2011,2,10000000,43,,400000,,3,525600000,67
Etsy,2012,4,22000000,120,4,800000,100,3,895000000,70
Etsy,2013,1,30000000,36,1,1000000,25,,,
Shiply,2008,,,,,,,,96000,
Shiply,2009,,40000,,,,,,,
Shiply,2010,4,175000,338,,296206,,,800000,
Shiply,2011,3,300000,71,3,500000,69,,,
Shiply,2012,4,600000,100,4,1000000,100,,,
Shiply,2013,3,1000000,67,3,1887000,89,,,
Yammer,2008,,60000,,,4000,,,,
Yammer,2009,4,800000,1233,4,120000,2900,,1000000,
Yammer,2010,4,1600000,100,4,320000,167,4,8333333,733
Yammer,2011,4,4000000,150,4,800000,150,4,25000000,200
Yammer,2012,3,7000000,75,3,1320000,65,4,70000000,180
Yammer,2013,1,8000000,14,,,,,,
Survey Monkey,2008,,,,,,,,,
Survey Monkey,2009,,2500000,,,20000000,,,27000000,
Survey Monkey,2010,4,5000000,100,1,25000000,25,3,50000000,85
Survey Monkey,2011,3,8500000,70,2,40000000,60,,,
Survey Monkey,2012,3,12000000,76,1,51000000,28,,113000000,
Survey Monkey,2013,,15000000,,1,65000000,27,,,
Salesforce,2008,,1100000,,,51800,,,748000000,
Salesforce,2009,2,1700000,55,1,63000,22,2,1076769000,44
Salesforce,2010,1,2100000,24,1,87000,38,1,1305583000,21
Salesforce,2011,2,3000000,43,1,104000,20,1,1675139000,28
Salesforce,2012,3,5800000,93,,,,1,2266539000,35
Salesforce,2013,,,,,,,,,
Lendingclub,2008,,,,,24800000,,,,
Lendingclub,2009,,,,4,76600000,209,,,
Lendingclub,2010,,,,4,202000000,164,,,
Lendingclub,2011,,,,4,460000000,128,,,
Lendingclub,2012,,,,4,1000000000,117,,,
Lendingclub,2013,,,,,,,,,
Yelp,2008,,1500000,,,4000000,,,12140000,
Yelp,2009,3,25000000,67,4,9000000,125,4,25810000,113
Yelp,2010,3,41000000,64,3,15000000,67,3,47731000,85
Yelp,2011,3,66000000,61,2,22000000,47,3,83285000,74
Yelp,2012,1,86000000,30,3,36000000,64,3,137567000,65
Yelp,2013,1,108000000,36,1,42000000,17,,,
Netflix,2008,,9390000,,,9164000,,,1364661000,
Netflix,2009,1,12268000,31,1,11892000,30,1,1670269000,22
Netflix,2010,3,20010000,63,2,18268000,54,1,2162625000,29
Netflix,2011,1,26253000,31,1,24305000,33,2,3204577000,48
Netflix,2012,1,33000000,26,1,27613000,14,1,3609282000,13
Netflix,2013,2,,44,1,29200000,6,,,
BlaBlaCar (2006),2008,,1000,,,,,,,
BlaBlaCar (2006),2009,4,50000,4900,,100000,,,,
BlaBlaCar (2006),2010,4,125000,150,4,500000,400,,,
BlaBlaCar (2006),2011,4,400000,220,4,1600000,220,,1000000,
BlaBlaCar (2006),2012,4,1600000,300,2,2300000,44,1,1300000,30
BlaBlaCar (2006),2013,,,,1,3000000,30,,,
Couchsurfing,2008,,700000,,,622000,,,788297,
Couchsurfing,2009,,,,3,1118249,80,,,
Couchsurfing,2010,,2395662,,,,,,1913400,
Couchsurfing,2011,1,3000000,25,,,,,,
Couchsurfing,2012,1,3965492,32,,16000000,,,,
Couchsurfing,2013,,,,,,,,,
Youtube,2008,,65000000,,,100000000,,,,
Youtube,2009,2,100000000,54,4,1000000000,900,,,
Youtube,2010,4,425000000,325,4,2000000000,100,,,
Youtube,2011,3,800000000,88,2,3000000000,50,,,
Youtube,2012,,,,1,4000000000,33,,,
Youtube,2013,,1000000000,,,,,,,
Ebay,2008,,,,,87700000,,,8451261000,
Ebay,2009,,,,1,90100000,3,4,8727362000,3
Ebay,2010,,,,1,94500000,5,3,9156000000,5
Ebay,2011,,,,1,100400000,6,3,11652000000,27
Ebay,2012,,,,1,123000000,23,3,14072000000,21
Ebay,2013,,,,,,,,,
TedX,2008,,50000000,,,,,,,
TedX,2009,4,200000000,300,,,,,,
TedX,2010,1,250000000,25,,1300,,,,
TedX,2011,4,500000000,100,4,12900,892,,,
TedX,2012,4,1000000000,100,1,16500,28,,,
TedX,2013,,,,3,30000,82,,,
Shapeways,2008,,100,,,,,,,
Shapeways,2009,,,,,,,,,
Shapeways,2010,4,50000,,,1000,,,,
Shapeways,2011,4,100000,100,4,4000,300,,,
Shapeways,2012,4,230000,130,2,6000,50,,,
Shapeways,2013,1,300000,23,3,10000,67,,,
Makerbot,2008,,,,,,,,,
Makerbot,2009,,3500,,,,,,,
Makerbot,2010,2,5200,49,,,,,,
Makerbot,2011,2,8000,54,,,,,10000000,
Makerbot,2012,3,13000,63,,,,2,15700000,57
Makerbot,2013,,,,,,,,,
Taskrabbit,2008,,,,,,,,,
Taskrabbit,2009,,300,,,100,,,,
Taskrabbit,2010,,,,,,,,,
Taskrabbit,2011,,36000,,,1500,,,,
Taskrabbit,2012,4,108000,200,3,2500,67,,,
Taskrabbit,2013,,,,,,,,,
23AndMe,2008,,,,,,,,,
23AndMe,2009,,,,,,,,12600000,
23AndMe,2010,,65000,,,43000,,,22000000,
23AndMe,2011,2,100000,53,2,60000,40,,,
23AndMe,2012,3,180000,79,4,135000,125,,50000000,
23AndMe,2013,3,350000,94,4,315000,133,,,
37signals,2008,,,,,12,,,,
37signals,2009,,,,1,15,25,,,
37signals,2010,,,,3,25,67,,,
37signals,2011,,,,1,34,36,,,
37signals,2012,,,,,32,,,,
37signals,2013,,,,,,,,,
Huffington Post,2008,,,,,1200000,,,,
Huffington Post,2009,,,,4,9000000,650,,15000000,
Huffington Post,2010,,,,,26000000,,4,30000000,100
Huffington Post,2011,,,,,35600000,,1,40000000,33
Huffington Post,2012,,,,1,45500000,26,,,
Huffington Post,2013,,,,,,,,,
Change.org,2008,,,,,,,,,
Change.org,2009,,,,,,,,,
Change.org,2010,,1000000,,,,,,,
Change.org,2011,4,6000000,500,,120000,,,,
Change.org,2012,4,20000000,233,4,350000,192,,,
Change.org,2013,4,45000000,125,3,600000,71,,,
Carpooling.com,2008,,,,,,,,,
Carpooling.com,2009,,,,,,,,,
Carpooling.com,2010,,,,,,,,,
Carpooling.com,2011,,3500000,,,1000000,,,,
Carpooling.com,2012,1,3700000,6,,,,,,
Carpooling.com,2013,1,5000000,35,,1300000,,,,
Outbrain,2008,,,,,,,,,
Outbrain,2009,,,,,,,,,
Outbrain,2010,,,,,,,,,
Outbrain,2011,,,,,,,,,
Outbrain,2012,,,,,,,,,
Outbrain,2013,,,,,90,,,,
Twitter,2008,,,,,1100000,,,,
Twitter,2009,,,,,,,,4000000,
Twitter,2010,,37463750,,,65000000,,4,28278000000,607
Twitter,2011,4,88150000,135,4,140000000,115,4,106313000,276
Twitter,2012,2,138000000,57,4,340000000,143,4,316933000,198
Twitter,2013,2,215000000,56,4,500000000,47,,,
Hoote Suite,2008,,,,,,,,,
Hoote Suite,2009,4,200000,100,,,,,,
Hoote Suite,2010,4,1000000,400,,,,,,
Hoote Suite,2011,4,2700000,170,,,,4,11000000,100
Hoote Suite,2012,3,5000000,85,,,,4,75000000,582
Hoote Suite,2013,2,7000000,40,,,,,,
Kiva,2008,,250000,,,50000000,,,7100000,
Kiva,2009,4,,134,4,100000000,100,1,9100000,28
Kiva,2010,,370837,,2,150000000,50,1,11515298,27
Kiva,2011,1,457739,23,2,240000000,60,1,13582629,18
Kiva,2012,3,777946,70,2,375000000,56,1,17394130,28
Kiva,2013,1,938049,30,1,456754450,22,,,
8Coupon,2008,,60000,,,5000,,,,
8Coupon,2009,4,770354,1184,,70000,300,,,
8Coupon,2010,1,1000000,30,4,300000,100,,,
8Coupon,2011,4,2500000,150,4,600000,,,,
8Coupon,2012,,,,,,,4,,100
8Coupon,2013,,,,,,,,,
Patientslikeme,2008,,25000,,,,,,,
Patientslikeme,2009,3,45000,80,,,,,,
Patientslikeme,2010,1,55000,22,,,,,,
Patientslikeme,2011,3,100000,82,,,,,,
Patientslikeme,2012,3,160000,60,,1500,,,,
Patientslikeme,2013,1,220000,38,2,2000,33,,,
Causes,2008,,12000000,,,,,,,
Causes,2009,4,70000000,483,,270000,,,,
Causes,2010,3,119000000,70,,,,,,
Causes,2011,1,140000000,18,,,,,,
Causes,2012,1,186000000,33,,650000,,,,
Causes,2013,,,,,,,,,
Skype,2008,,325000000,,,5800000,,,551300000,
Skype,2009,1,474000000,46,1,7300000,26,1,719000000,30
Skype,2010,1,663000000,40,1,8800000,21,1,860000000,20
Skype,2011,,,,,,,,,
Skype,2012,,,,,,,,2000000000,
Skype,2013,,,,3,,,,,
Alibaba Group,2008,,38075335,,,4614250,,,,
Alibaba Group,2009,1,47732916,25,2,6819984,48,,900000000,
Alibaba Group,2010,1,56722482000,19,,,,3,1600000000,78
Alibaba Group,2011,1,72777255,28,,,,3,2900000000,81
Alibaba Group,2012,,,,,,,3,4900000000,69
Alibaba Group,2013,,,,,,,,,
DeviantArt,2008,,7000000,,,50000000,,,,
DeviantArt,2009,2,11000000,57,3,81000000,62,,,
DeviantArt,2010,1,13000000,18,3,140000000,73,,,
DeviantArt,2011,1,18000000,38,1,145000000,4,,,
DeviantArt,2012,1,23000000,28,1,180000000,24,,,
DeviantArt,2013,1,28000000,22,1,246000000,37,,,
ZipCar,2008,,225000,,,,,,105969000,
ZipCar,2009,2,325000,44,,,,1,131182000,24
ZipCar,2010,3,540484,66,,8250,,2,186101000,42
ZipCar,2011,1,673257,25,1,8904,8,1,241600000,30
ZipCar,2012,1,777689,16,4,9763,10,1,278900000,15
ZipCar,2013,1,810000,4,,,,,,
Shutterfly,2008,,2789000,,,7569000,,,213480000,
Shutterfly,2009,1,3281000,18,1,7891000,4,1,246432000,15
Shutterfly,2010,1,4069000,24,1,9204000,17,1,307707000,25
Shutterfly,2011,1,5388000,32,1,12340000,34,2,473270000,54
Shutterfly,2012,1,7062000,31,1,16322000,32,1,640624000,35
Shutterfly,2013,,,,,,,,,
Layar,2008,,,,,,,,,
Layar,2009,,,,,,,,,
Layar,2010,,,,,,,,,
Layar,2011,,,,,18000000,,,,
Layar,2012,,,,3,29000000,61,,,
Layar,2013,,,,,,,,,
